date,max_temp,avg_temp,min_temp,avg_wind_speed,precipitation,day_of_week
1,22,17.3,12,9.4,0,Friday
2,35,26.8,18,10.4,0,Saturday
3,52,40.7,32,5.3,0,Sunday
4,58,46.7,38,5.3,0,Monday
5,64,50.3,38,5.5,0,Tuesday
6,44,40,35,10.6,0,Wednesday
7,43,41.4,37,10,0.56,Thursday
8,54,43.3,33,11,0.33,Friday
9,32,28.5,24,21.8,0.07,Saturday
10,35,30.3,24,8.9,0,Sunday
11,37,34.2,31,7,0,Monday
12,36,30.5,26,15.2,0,Tuesday
13,41,36.3,34,14.7,0.76,Wednesday
14,45,38.9,33,11.6,0,Thursday
15,55,47.9,41,9.5,0,Friday
16,44,38.2,32,14.9,0,Saturday
17,36,32.1,26,8.9,0,Sunday
18,41,34.1,27,12.8,0.13,Monday
19,36,29.4,24,13.4,0.01,Tuesday
20,32,28.4,26,8.4,0,Wednesday
21,51,39.5,32,9.1,0.73,Thursday
22,43,40,37,13.1,0,Friday
23,38,35.9,32,7.8,0,Saturday
24,47,40.6,35,13.2,0.51,Sunday
25,43,37.4,28,27,0.22,Monday
26,36,29.2,25,17.3,0,Tuesday
27,29,26.1,23,9.7,0,Wednesday
28,35,29.9,27,10.2,0.03,Thursday